survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,embarked_Q,embarked_S
0,3,0,-0.5657364610748746,1,0,-0.5024451714361923,Third,man,True,,Southampton,no,False,False,True
1,1,1,0.6638610320657843,1,0,0.7868452935884461,First,woman,False,C,Cherbourg,yes,False,False,False
1,3,1,-0.2583370877897099,0,0,-0.4888542575852486,Third,woman,False,,Southampton,yes,True,False,True
1,1,1,0.4333115021019107,1,0,0.4207302360686478,First,woman,False,C,Southampton,yes,False,False,True
0,3,0,0.4333115021019107,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,0,0,-0.47811642890864375,Third,man,True,,Queenstown,no,True,True,False
0,1,0,1.893458525206443,0,0,0.395813560675251,First,man,True,E,Southampton,no,True,False,True
0,3,0,-2.1027333275006983,3,1,-0.22408312108167944,Third,child,False,,Southampton,no,False,False,True
1,3,1,-0.1814872444684187,0,2,-0.4242561406845337,Third,woman,False,,Southampton,yes,False,False,True
1,2,1,-1.180535207645204,1,0,-0.04295550208861426,Second,child,False,,Cherbourg,yes,False,False,False
1,3,1,-1.949033640858116,1,1,-0.312172377522981,Third,child,False,G,Southampton,yes,False,False,True
1,1,1,2.200857898491608,0,0,-0.11384570873513637,First,woman,False,C,Southampton,yes,True,False,True
0,3,0,-0.719436147717457,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,3,0,0.7407108753870755,1,5,-0.01870931177853076,Third,man,True,,Southampton,no,False,False,True
0,3,1,-1.180535207645204,0,0,-0.4902797934380587,Third,child,False,,Southampton,no,True,False,True
1,2,1,1.9703083685277343,0,0,-0.3262666585535892,Second,woman,False,,Southampton,yes,True,False,True
0,3,0,-2.1027333275006983,4,1,-0.06199888922968463,Third,child,False,,Queenstown,no,False,True,False
1,2,0,-0.10463740114712752,0,0,-0.3866707201133388,Second,man,True,,Southampton,yes,True,False,True
0,3,1,0.12591212881674602,1,0,-0.2859972841804228,Third,woman,False,,Southampton,no,False,False,True
1,3,1,-0.10463740114712752,0,0,-0.5029485386158568,Third,woman,False,,Cherbourg,yes,True,False,False
0,2,0,0.4333115021019107,0,0,-0.12491978668775715,Second,man,True,,Southampton,no,True,False,True
1,2,0,0.35646165878061953,0,0,-0.3866707201133388,Second,man,True,D,Southampton,yes,True,False,True
1,3,1,-1.1036853643239128,0,0,-0.4867562231804066,Third,child,False,,Queenstown,yes,True,True,False
1,1,0,-0.10463740114712752,0,0,0.06635974158478332,First,man,True,A,Southampton,yes,True,False,True
0,3,1,-1.6416342675729512,3,1,-0.22408312108167944,Third,child,False,,Southampton,no,False,False,True
1,3,1,0.6638610320657843,1,5,-0.016444159470040135,Third,woman,False,,Southampton,yes,False,False,True
0,3,0,-0.10463740114712752,0,0,-0.5029485386158568,Third,man,True,,Cherbourg,no,True,False,False
0,1,0,-0.7962859910387481,3,2,4.647001076532463,First,man,True,C,Southampton,no,False,False,True
1,3,1,-0.10463740114712752,0,0,-0.48977642625839407,Third,woman,False,,Queenstown,yes,True,True,False
0,3,0,-0.10463740114712752,0,0,-0.4894421904510968,Third,man,True,,Southampton,no,True,False,True
0,1,0,0.8175607187083667,0,0,-0.09027201697708476,First,man,True,,Cherbourg,no,True,False,False
1,1,1,-0.10463740114712752,1,0,2.301728820789,First,woman,False,B,Cherbourg,yes,False,False,False
1,3,1,-0.10463740114712752,0,0,-0.49237782784290063,Third,woman,False,,Queenstown,yes,True,True,False
0,2,0,2.8156566450619374,0,0,-0.43700743807979686,Second,man,True,,Southampton,no,True,False,True
0,1,0,-0.10463740114712752,1,0,1.0060617003323709,First,man,True,,Cherbourg,no,False,False,False
0,1,0,0.9712604053509489,1,0,0.39858208016340624,First,man,True,,Southampton,no,False,False,True
1,3,0,-0.10463740114712752,0,0,-0.5028639729296732,Third,man,True,,Cherbourg,yes,True,False,False
0,3,0,-0.6425863043961658,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,3,1,-0.8731358343600393,2,0,-0.2859972841804228,Third,woman,False,,Southampton,no,False,False,True
1,3,1,-1.180535207645204,1,0,-0.42207354059350805,Third,child,False,,Cherbourg,yes,False,False,False
0,3,1,0.8175607187083667,1,0,-0.4576454924460446,Third,woman,False,,Southampton,no,False,False,True
0,2,1,-0.1814872444684187,1,0,-0.22559322262067316,Second,woman,False,,Southampton,no,False,False,True
0,3,0,-0.10463740114712752,0,0,-0.4894421904510968,Third,man,True,,Cherbourg,no,True,False,False
1,2,1,-2.025883484179407,1,2,0.18876253192945994,Second,child,False,,Cherbourg,yes,False,False,False
1,3,1,-0.7962859910387481,0,0,-0.48977642625839407,Third,woman,False,,Queenstown,yes,True,True,False
0,3,0,-0.10463740114712752,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,1,0,-0.3363340021468808,Third,man,True,,Queenstown,no,False,True,False
1,3,1,-0.10463740114712752,0,0,-0.49237782784290063,Third,woman,False,,Queenstown,yes,True,True,False
0,3,0,-0.10463740114712752,2,0,-0.21191774308354583,Third,man,True,,Cherbourg,no,False,False,False
0,3,1,-0.8731358343600393,1,0,-0.29002422161773944,Third,woman,False,,Southampton,no,False,False,True
0,3,0,-1.7184841108942424,4,1,0.1506737441786005,Third,child,False,,Southampton,no,False,False,True
0,3,0,-0.6425863043961658,0,0,-0.4913710934835715,Third,man,True,,Southampton,no,True,False,True
1,1,1,1.5092093085999871,1,0,0.8964967865378598,First,woman,False,D,Cherbourg,yes,False,False,False
1,2,1,-0.027787557825836348,1,0,-0.12491978668775715,Second,woman,False,,Southampton,yes,False,False,True
0,1,0,2.738806801740646,0,1,0.5995101505357573,First,man,True,B,Cherbourg,no,False,False,False
1,1,0,-0.10463740114712752,0,0,0.06635974158478332,First,man,True,C,Southampton,yes,True,False,True
1,2,1,-0.6425863043961658,0,0,-0.43700743807979686,Second,woman,False,,Southampton,yes,True,False,True
0,3,0,-0.06621247948648194,0,0,-0.5028639729296732,Third,man,True,,Cherbourg,no,True,False,False
1,2,1,-1.8721837975368247,1,2,-0.08968408411123653,Second,child,False,,Southampton,yes,False,False,True
0,3,0,-1.4110847376090776,5,2,0.2958951755118318,Third,child,False,,Southampton,no,False,False,True
0,3,0,-0.5657364610748746,0,0,-0.5028639729296732,Third,man,True,,Cherbourg,no,True,False,False
1,1,1,0.6638610320657843,0,0,0.962353321387736,First,woman,False,B,,yes,True,False,True
0,1,0,1.2018099353148226,1,0,1.0323213593611125,First,man,True,C,Southampton,no,False,False,True
0,3,0,-1.949033640858116,3,2,-0.08666388103324908,Third,child,False,,Southampton,no,False,False,True
0,1,0,-0.10463740114712752,0,0,-0.09027201697708476,First,man,True,,Cherbourg,no,True,False,False
1,3,0,-0.10463740114712752,1,1,-0.3414522396297103,Third,man,True,,Cherbourg,yes,False,False,False
1,2,1,-0.027787557825836348,0,0,-0.43700743807979686,Second,woman,False,F,Southampton,yes,True,False,True
0,3,0,-0.7962859910387481,0,0,-0.4841568350646187,Third,man,True,,Southampton,no,True,False,True
1,3,1,-0.9499856776813305,4,2,-0.4888542575852486,Third,woman,False,,Southampton,yes,False,False,True
0,3,0,-0.2583370877897099,2,0,-0.47400492578514347,Third,man,True,,Southampton,no,False,False,True
0,2,0,0.20276197213803718,0,0,-0.43700743807979686,Second,man,True,,Southampton,no,True,False,True
0,3,1,-1.0268355210026217,5,2,0.2958951755118318,Third,woman,False,,Southampton,no,False,False,True
0,2,0,-0.6425863043961658,0,0,0.8314778546749452,Second,man,True,,Southampton,no,True,False,True
0,3,0,-0.2583370877897099,1,0,-0.3573908580066095,Third,man,True,,Cherbourg,no,False,False,False
1,3,0,0.20276197213803718,0,0,0.48910360681684706,Third,man,True,,Southampton,yes,True,False,True
0,3,0,-0.33518693111100106,0,0,-0.494391296561559,Third,man,True,F,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,0,0,-0.4894421904510968,Third,man,True,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
1,2,0,-2.192647644186609,0,2,-0.06451572512800753,Second,child,False,,Southampton,yes,False,False,True
1,3,1,0.04906228549545483,0,0,-0.397241430886295,Third,woman,False,,Southampton,yes,True,False,True
0,3,0,-0.5657364610748746,0,0,-0.46720946885967163,Third,man,True,,Southampton,no,True,False,True
1,3,0,-0.027787557825836348,0,0,-0.45714212526638004,Third,man,True,,Southampton,yes,True,False,True
1,3,1,-0.10463740114712752,0,0,-0.49162277707340374,Third,woman,False,,Queenstown,yes,True,True,False
0,1,0,-0.10463740114712752,0,0,0.29992211294914856,First,man,True,,Southampton,no,True,False,True
1,2,1,-0.9499856776813305,0,0,-0.43700743807979686,Second,woman,False,,Southampton,yes,True,False,True
1,3,1,0.27961181545932834,3,0,-0.32928686163157667,Third,woman,False,,Southampton,yes,False,False,True
0,3,0,-1.0268355210026217,1,3,0.04370821849987721,Third,man,True,,Southampton,no,False,False,True
0,3,0,-0.10463740114712752,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
1,1,1,-0.48888661775358344,3,2,4.647001076532463,First,woman,False,C,Southampton,yes,False,False,True
0,3,0,-0.41203677443229225,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,3,0,-0.027787557825836348,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,3,0,-0.719436147717457,0,0,-0.4902797934380587,Third,man,True,,Southampton,no,True,False,True
0,1,0,1.2786597786361138,1,0,0.5833178351003071,First,man,True,E,Southampton,no,False,False,True
0,3,0,-0.2583370877897099,1,2,-0.23415046467497105,Third,man,True,,Southampton,no,False,False,True
0,3,0,2.277707741812899,0,0,-0.5024451714361923,Third,man,True,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,1,0,3.1999058616683933,0,0,0.0493298231623713,First,man,True,A,Cherbourg,no,True,False,False
1,1,0,-0.48888661775358344,0,1,0.6272778976347743,First,man,True,D,Cherbourg,yes,False,False,False
1,2,1,0.35646165878061953,0,1,-0.18532384824750675,Second,woman,False,,Southampton,yes,False,False,True
0,2,0,0.35646165878061953,1,0,-0.12491978668775715,Second,man,True,,Southampton,no,False,False,True
0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,Third,woman,False,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,0,0,-0.4894421904510968,Third,man,True,,Southampton,no,True,False,True
0,1,0,-0.6425863043961658,0,1,0.907737982394129,First,man,True,D,Southampton,no,False,False,True
0,3,0,0.27961181545932834,0,0,-0.4741720436887921,Third,man,True,,Southampton,no,True,False,True
0,3,0,0.5870111887444931,2,0,-0.4888542575852486,Third,man,True,,Southampton,no,False,False,True
0,3,0,-0.10463740114712752,0,0,-0.4894421904510968,Third,man,True,,Southampton,no,True,False,True
1,3,1,-0.6425863043961658,0,0,-0.494391296561559,Third,woman,False,,Southampton,yes,True,False,True
1,3,0,-0.10463740114712752,0,0,-0.4918744606632361,Third,man,True,,Southampton,yes,True,False,True
0,3,0,0.6638610320657843,0,0,-0.4894421904510968,Third,man,True,,Southampton,no,True,False,True
1,3,1,-0.10463740114712752,1,0,-0.1621689579829361,Third,woman,False,,Queenstown,yes,False,True,False
0,1,0,1.3555096219574048,0,0,0.39858208016340624,First,man,True,C,Southampton,no,True,False,True
0,3,1,-1.1421102859845584,1,0,-0.3573908580066095,Third,child,False,,Cherbourg,no,False,False,False
0,3,0,-0.5657364610748746,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,3,1,-0.719436147717457,1,0,-0.4505983519307405,Third,woman,False,,Southampton,no,False,False,True
0,3,1,-0.9499856776813305,0,0,-0.3573083057891445,Third,woman,False,,Cherbourg,no,True,False,False
0,3,0,-0.6425863043961658,0,0,-0.4888542575852486,Third,man,True,,Southampton,no,True,False,True
0,3,0,3.1614809400077477,0,0,-0.49237782784290063,Third,man,True,,Queenstown,no,True,True,False
0,2,0,-0.027787557825836348,1,0,-0.22559322262067316,Second,man,True,,Southampton,no,False,False,True
0,1,0,-0.41203677443229225,0,1,4.335332226633905,First,man,True,B,Cherbourg,no,False,False,False
0,3,1,-2.1027333275006983,4,2,-0.01870931177853076,Third,child,False,,Southampton,no,False,False,True
0,2,0,-0.6425863043961658,2,0,0.8314778546749452,Second,man,True,,Southampton,no,False,False,True
0,3,0,-0.10463740114712752,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,2,0,0.24118689379868277,1,0,-0.04295550208861426,Second,man,True,,Cherbourg,no,False,False,False
1,2,1,0.24118689379868277,0,0,-0.3866707201133388,Second,woman,False,E,Southampton,yes,True,False,True
0,1,0,1.893458525206443,0,1,0.907737982394129,First,man,True,D,Southampton,no,False,False,True
1,3,0,-1.3342348942877864,1,0,-0.42207354059350805,Third,child,False,,Cherbourg,yes,False,False,False
0,3,0,-0.10463740114712752,0,0,-0.49237782784290063,Third,man,True,,Queenstown,no,True,True,False
1,3,0,-0.41203677443229225,0,0,-0.5046257580584992,Third,man,True,,Southampton,yes,True,False,True
1,3,1,-0.10463740114712752,1,1,-0.19824427701513722,Third,woman,False,F,Cherbourg,yes,False,False,False
0,3,0,1.2018099353148226,0,0,-0.5079822104125026,Third,man,True,,Southampton,no,True,False,True
0,3,0,0.27961181545932834,0,0,-0.4894421904510968,Third,man,True,,Cherbourg,no,True,False,False
0,3,0,-0.719436147717457,0,0,-0.5064721088735089,Third,man,True,,Southampton,no,True,False,True
0,3,1,1.3555096219574048,1,0,-0.35646868933346404,Third,woman,False,,Southampton,no,False,False,True
1,2,1,-0.027787557825836348,1,0,-0.12491978668775715,Second,woman,False,,Southampton,yes,False,False,True
0,2,0,-0.33518693111100106,0,0,-0.3866707201133388,Second,man,True,,Southampton,no,True,False,True
0,2,0,-0.48888661775358344,0,0,-0.3454791770670269,Second,man,True,,Cherbourg,no,True,False,False
1,1,1,-0.7962859910387481,0,2,-0.11921562980779811,First,woman,False,D,Southampton,yes,False,False,True
0,1,0,0.5870111887444931,1,0,0.4207302360686478,First,man,True,C,Southampton,no,False,False,True
0,3,0,-1.0268355210026217,0,0,-0.4628462821463391,Third,man,True,,Southampton,no,True,False,True
0,1,0,-0.41203677443229225,0,0,0.9462455716384695,First,man,True,B,Cherbourg,no,True,False,False
0,3,1,-0.10463740114712752,0,2,-0.3414522396297103,Third,woman,False,,Cherbourg,no,False,False,False
1,3,1,-0.5657364610748746,0,0,-0.49237782784290063,Third,woman,False,,Southampton,yes,True,False,True
1,3,1,-0.41203677443229225,1,0,-0.32928686163157667,Third,woman,False,,Southampton,yes,False,False,True
0,3,0,-0.7962859910387481,0,0,-0.5125125150294839,Third,man,True,,Queenstown,no,True,True,False
0,2,0,-0.8731358343600393,0,0,-0.41687275089321363,Second,man,True,,Southampton,no,True,False,True
0,2,0,-0.7962859910387481,1,1,0.09152810056801232,Second,man,True,,Southampton,no,False,False,True
1,3,0,-0.1814872444684187,0,0,-0.49145565916975514,Third,man,True,,Southampton,yes,True,False,True
0,3,1,-1.56478442425166,2,2,0.04370821849987721,Third,child,False,,Southampton,no,False,False,True
0,2,0,0.5485862670838475,0,2,-0.12491978668775715,Second,man,True,F,Southampton,no,False,False,True
0,2,0,0.9712604053509489,0,0,-0.3866707201133388,Second,man,True,,Southampton,no,True,False,True
0,2,0,1.6629089952425695,0,0,-0.39623469652696586,Second,man,True,,Southampton,no,True,False,True
1,1,1,-0.5657364610748746,1,0,0.6925485130875209,First,woman,False,C,Southampton,yes,False,False,True
0,3,0,2.00873329018838,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,3,0,0.8559856403690123,0,2,-0.35646868933346404,Third,man,True,,Southampton,no,False,False,True
0,3,0,-0.10463740114712752,0,0,-0.5011867534870308,Third,man,True,,Southampton,no,True,False,True
0,1,0,1.6629089952425695,0,1,0.5874293382238074,First,man,True,,Cherbourg,no,False,False,False
1,3,1,-1.0268355210026217,0,0,-0.49271407711891657,Third,woman,False,,Queenstown,yes,True,True,False
0,3,0,0.04906228549545483,0,0,-0.4863374216869257,Third,man,True,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,0,0,-0.47400492578514347,Third,man,True,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,8,2,0.7519458402879414,Third,man,True,,Southampton,no,False,False,True
0,3,0,1.1249600919935314,0,1,-0.32425318983493084,Third,man,True,,Southampton,no,False,False,True
1,2,1,0.8175607187083667,0,0,-0.331300330350235,Second,woman,False,,Southampton,yes,True,False,True
0,3,0,-0.2583370877897099,0,0,-0.4918744606632361,Third,man,True,,Southampton,no,True,False,True
0,3,0,-0.9499856776813305,0,0,-0.47400492578514347,Third,man,True,,Southampton,no,True,False,True
0,3,0,-2.1795831708219895,4,1,0.1506737441786005,Third,child,False,,Southampton,no,False,False,True
1,3,0,-1.56478442425166,0,2,-0.2351571990343002,Third,child,False,,Southampton,yes,False,False,True
1,1,1,-0.10463740114712752,0,1,0.4589861417231558,First,woman,False,E,Southampton,yes,False,False,True
0,3,1,1.2018099353148226,1,4,-0.08666388103324908,Third,woman,False,,Southampton,no,False,False,True
0,1,0,-0.10463740114712752,0,0,-0.12642988822675086,First,man,True,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,0,0,0.48910360681684706,Third,man,True,,Southampton,no,True,False,True
0,1,0,2.4314074284554814,0,0,0.026090367211616904,First,man,True,B,Southampton,no,True,False,True
0,3,0,-1.949033640858116,4,1,-0.06199888922968463,Third,child,False,,Queenstown,no,False,True,False
1,3,1,-2.1795831708219895,1,1,-0.4242561406845337,Third,child,False,,Southampton,yes,False,False,True
0,3,0,-0.6425863043961658,0,0,-0.4888542575852486,Third,man,True,,Southampton,no,True,False,True
0,1,0,2.0471582118490255,0,0,-0.030371322596999754,First,man,True,A,Cherbourg,no,True,False,False
0,3,0,-0.8731358343600393,1,1,-0.4902797934380587,Third,man,True,,Southampton,no,False,False,True
0,3,0,-0.10463740114712752,3,1,-0.13565761536436197,Third,man,True,,Southampton,no,False,False,True
0,1,1,1.5860591519212783,0,0,-0.07030444769415023,First,woman,False,C,Cherbourg,no,True,False,False
0,2,0,0.04906228549545483,0,0,-0.3866707201133388,Second,man,True,,Southampton,no,True,False,True
0,3,0,0.5101613454232019,0,0,-0.6484216535389205,Third,man,True,,Southampton,no,True,False,True
0,3,1,-0.10463740114712752,8,2,0.7519458402879414,Third,woman,False,,Southampton,no,False,False,True
0,2,0,-0.10463740114712752,0,0,-0.34539461138084326,Second,man,True,,Cherbourg,no,True,False,False
0,3,0,-1.56478442425166,4,2,-0.016444159470040135,Third,child,False,,Southampton,no,False,False,True
1,2,0,-2.1795831708219895,2,1,0.13683114673782454,Second,child,False,F,Southampton,yes,False,False,True
1,3,1,-1.949033640858116,0,2,-0.20495516825442542,Third,child,False,,Southampton,yes,False,False,True
0,1,0,-0.10463740114712752,0,0,0.3583127057902398,First,man,True,A,Southampton,no,True,False,True
1,3,1,-0.10463740114712752,1,0,-0.3363340021468808,Third,woman,False,,Queenstown,yes,False,True,False
1,1,0,1.2018099353148226,0,0,-0.11384570873513637,First,man,True,,Southampton,yes,True,False,True
0,3,0,0.8175607187083667,1,1,-0.3363340021468808,Third,man,True,,Queenstown,no,False,True,False
0,3,0,0.5101613454232019,0,0,-0.4894421904510968,Third,man,True,,Southampton,no,True,False,True
1,2,1,0.20276197213803718,0,0,-0.3866707201133388,Second,woman,False,,Southampton,yes,True,False,True
0,2,0,-0.7962859910387481,0,0,-0.3866707201133388,Second,man,True,,Southampton,no,True,False,True
1,3,1,-0.7962859910387481,1,0,-0.4902797934380587,Third,woman,False,,Southampton,yes,False,False,True
1,2,0,-2.025883484179407,1,1,-0.12491978668775715,Second,child,False,F,Southampton,yes,False,False,True
1,1,1,1.1249600919935314,0,0,-0.09027201697708476,First,woman,False,B,Cherbourg,yes,True,False,False
1,1,1,2.200857898491608,0,0,2.301728820789,First,woman,False,B,Cherbourg,yes,True,False,False
0,3,0,-0.10463740114712752,0,0,-0.49237782784290063,Third,man,True,,Queenstown,no,True,True,False
0,3,0,0.9712604053509489,0,1,-0.47920571548543794,Third,man,True,,Southampton,no,False,False,True
1,3,1,-0.10463740114712752,0,0,-0.49237782784290063,Third,woman,False,,Queenstown,yes,True,True,False
0,2,1,-0.41203677443229225,0,0,-0.3866707201133388,Second,woman,False,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,0,0,-0.45714212526638004,Third,man,True,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,8,2,0.7519458402879414,Third,man,True,,Southampton,no,False,False,True
0,3,0,0.35646165878061953,0,0,-0.5176307525123133,Third,man,True,,Southampton,no,True,False,True
0,3,0,1.2402348569754682,0,0,-0.5029485386158568,Third,man,True,,Cherbourg,no,True,False,False
1,3,0,-0.8731358343600393,0,0,-0.4863374216869257,Third,man,True,,Southampton,yes,True,False,True
0,3,1,-2.1027333275006983,0,1,-0.43776248884929375,Third,child,False,G,Southampton,no,False,False,True
0,3,0,0.20276197213803718,1,0,-0.32928686163157667,Third,man,True,,Southampton,no,False,False,True
1,3,0,-0.2583370877897099,0,0,-0.2701412180209885,Third,man,True,,Cherbourg,yes,True,False,False
1,3,1,-1.0268355210026217,0,0,-0.49237782784290063,Third,woman,False,,Queenstown,yes,True,True,False
1,1,0,0.8175607187083667,0,0,-0.024246350754841113,First,man,True,A,Cherbourg,yes,True,False,False
0,3,0,-0.41203677443229225,0,0,-0.5064721088735089,Third,man,True,,Southampton,no,True,False,True
1,2,1,0.4333115021019107,0,0,-0.22559322262067316,Second,woman,False,,Southampton,yes,True,False,True
0,3,0,-0.5657364610748746,0,0,-0.5024451714361923,Third,man,True,,Southampton,no,True,False,True
0,2,0,0.04906228549545483,0,0,-0.3866707201133388,Second,man,True,,Southampton,no,True,False,True
0,3,0,-0.10463740114712752,1,0,-0.49237782784290063,Third,man,True,,Queenstown,no,False,True,False
1,1,1,0.12591212881674602,1,0,1.6323350375212924,First,woman,False,D,Cherbourg,yes,False,False,False
1,3,1,-0.1814872444684187,0,0,-0.4888542575852486,Third,woman,False,,Southampton,yes,True,False,True
0,2,0,0.9712604053509489,1,0,-0.10478509950117394,Second,man,True,,Southampton,no,False,False,True
1,1,1,0.20276197213803718,0,0,0.8876878608937296,First,woman,False,D,Cherbourg,yes,True,False,False
0,2,0,0.04906228549545483,0,0,-0.43700743807979686,Second,man,True,,Southampton,no,True,False,True
1,3,0,-1.0268355210026217,0,0,-0.4863374216869257,Third,man,True,,Southampton,yes,True,False,True
